AffiliationID,ProviderID,ProviderAffliated,ProviderAffiliationName,ProviderAffiliationType,ProviderAffiliationStartDate,ProviderAffiliationEndDate
5e079191-faf7-4a32-875f-95416fcd48d9,a5ef6619-235d-4bd6-bd71-0320f9068fce,Yes,Atlantic Health System,Clinic,2018-03-20,2020-01-06
fd7fd17c-0711-40d9-b17f-de2df369d18e,0f365f3e-3d4a-4550-b79d-3a83042c35e4,Yes,Atlantic Health System,Medical Group,2022-07-23,2025-07-03
847bdfb2-6deb-496f-967a-1cc67017a22d,3b8a4d21-b65e-45e2-8617-e4941185da70,No,,,,
e778e009-3f73-497c-9c38-f267101d0a2e,ff778806-4dae-43dd-aaac-cb352124631c,Yes,Trinitas Regional Medical Center,Hospital,2022-12-23,2025-04-08
cc1c2b42-f93e-4543-8767-21dd67cf6dc4,ae9ecaac-9e40-4ae6-b1ea-c5eca580a5e7,Yes,Hackensack Medical Affiliates,Medical Group,2015-11-07,2019-12-22
5daa1a02-8afb-4c1e-bf0b-4c296cbaf441,07224516-b4a4-413d-be35-7c77feae762e,Yes,Trinitas Regional Medical Center,Clinic,2023-04-07,2025-07-03
b02e8d83-19fe-4c38-b725-b59891699dc1,c251fe9a-3349-48c5-be0b-7c2f1cadffae,Yes,Hackensack Medical Affiliates,Clinic,2022-11-16,2025-07-03
600f58bf-9203-4de0-8e5c-73fd96b87583,a5753cfd-e116-46e3-832c-322deb56ad51,No,,,,
a9e56e48-edf9-44b1-8fb8-c8e420ef2f37,8ea72e86-31c2-48e6-8c4d-0b9da94c1ba5,Yes,Atlantic Health System,Medical Group,2019-10-21,2025-07-03
c5f24135-3559-473c-adf8-c251a48114ba,6d0399d0-80c3-4e57-be67-a60a8ebcf29f,Yes,Trinitas Regional Medical Center,Health System,2021-07-17,2023-12-31
2dea112f-8b3c-46b4-9808-337dace0012c,74fc251c-8871-4f2a-bf52-624b8d02146a,Yes,Newark General Hospital,Clinic,2016-10-15,2019-01-07
4583fc59-a4d8-42fe-8303-cc743481a943,0631ab1c-918d-409c-9bab-cbc5ee696a9a,Yes,Hackensack Medical Affiliates,Hospital,2024-02-04,2025-07-03
96cb69dc-c854-4fda-a028-21a37669d636,f37dcee0-7721-47ba-8969-87ff8bd6bf37,Yes,Princeton Health Group,Health System,2023-03-17,2025-07-03
15548a62-d7c9-4e64-9671-03337c7ff2ae,953b1c02-1417-441f-91c6-ee221e2287cb,Yes,Hackensack Medical Affiliates,Medical Group,2018-04-20,2025-04-08
1bf4a8e9-fe99-40cb-8797-8258f4a94182,2d7635a4-6a05-47d2-a777-f09ecdea715e,Yes,RWJBarnabas Health,Hospital,2017-03-25,2023-08-05
1897b6ad-c739-4bb3-a3da-dca09d01d917,04382426-bcb1-4f57-a277-23aa43da3cca,Yes,Princeton Health Group,Medical Group,2021-04-06,2025-07-03
d5f60af5-f6d3-4397-8f34-733dd50b8a15,0fb21727-53f6-49b8-90b8-8d96a9e3d449,No,,,,
f3c26d8d-1380-47e3-8db4-0451a7cd0a02,0e604b67-5a4c-43c2-8e51-21d7f72fa835,Yes,Trinitas Regional Medical Center,Hospital,2020-06-04,2025-07-03
e9e31e2e-91c5-427d-98e5-09e176422f39,b343e6df-ba9e-4ed3-a707-438eec4ffbd6,Yes,Jersey Shore Hospital,Health System,2022-11-10,2025-07-03
08ff92ea-b1d2-4598-b6a4-944cad75f0dc,caf691bc-fdf6-4d78-b993-d57d2bdd9f86,Yes,Trinitas Regional Medical Center,Health System,2019-12-15,2023-07-15
55ac3957-4381-4922-9faf-7c56ee826e48,f38be03a-194b-4f77-ba69-863d32cdf462,No,,,,
84f6b5cb-5a9f-4c0f-b31f-2b9f74228de7,45ba9ed2-6820-4102-8b06-7ae8db71bef5,Yes,Hackensack Medical Affiliates,Health System,2018-01-14,2021-10-30
4269fb28-3e32-443a-96cd-81c38a2e4fde,280d1b57-043a-4dde-ba4f-b9f422fdd34e,Yes,Saint Mary's Medical Center,Health System,2018-07-28,2021-08-08
76f64d93-3113-4dfb-ad6f-5adbe6419856,831c77c0-c8ab-4c95-bba3-141d3efa7d66,Yes,Newark General Hospital,Medical Group,2020-02-24,2021-06-12
38f2c9b0-ac7d-4d50-95f7-f405438d7672,3c871099-1705-4091-ab59-8009e3e8411f,Yes,RWJBarnabas Health,Hospital,2017-10-08,2018-10-25
fb7673d1-6c03-4b09-a149-bad00e885a62,07cc3beb-f837-4bd1-9088-9dd34f2a317d,Yes,RWJBarnabas Health,Medical Group,2019-07-10,2024-09-15
c59f88b5-cb9e-40ec-849a-331b66e6b7db,5b576ae3-bece-4405-b29f-3c3f9b813c50,Yes,RWJBarnabas Health,Hospital,2021-04-23,2025-07-03
6a0f11b2-3883-4279-8f6a-53cd8a79c424,66a016bf-9ac4-4cec-a4ce-88aa3f5ee524,Yes,Hackensack Medical Affiliates,Hospital,2017-05-04,2019-01-31
7a98e39b-3279-471b-bdcb-45752a405482,aa36c072-0786-4592-95b0-9ab17ce3c085,Yes,Atlantic Health System,Clinic,2024-01-27,2025-07-03
bbc1e8ec-932a-4888-aa86-a664fd4ce21d,de3496bc-b6a9-4482-bbe8-0da045702258,Yes,Saint Mary's Medical Center,Medical Group,2016-07-21,2024-07-11
0c3acd5d-d47a-466d-af54-e3d273d1bec1,5b7ee38c-0ff7-4727-b562-e91e6e8501b2,Yes,Jersey Shore Hospital,Clinic,2023-03-21,2025-07-03
fb3550ea-aa51-44e1-8fba-862d1febc2fc,8f188e40-18f0-4fbf-a057-af60ad8bc45b,Yes,Jersey Shore Hospital,Clinic,2021-01-19,2025-07-03
f09b708b-5cb8-48ce-b659-753fdbde455f,3258b659-2b80-4dd2-8c38-2f129eaa4749,Yes,Hackensack Medical Affiliates,Hospital,2022-04-07,2025-07-03
783f79fe-36e2-4c38-9111-4fdb0e98964b,2234a4c4-5b50-44df-ab49-0a655766e8f4,Yes,Saint Mary's Medical Center,Health System,2021-08-29,2025-07-03
504a1d36-c5de-41bc-8cd5-47cce6fe56aa,fb26bdf8-8d33-43dd-96bb-4730c6f538a9,Yes,Trinitas Regional Medical Center,Health System,2018-09-22,2023-04-20
1f50ac8f-dac6-452c-8828-99a32ff68c23,3b26d193-e3aa-4f94-8dd1-9e509565ee95,Yes,Newark General Hospital,Clinic,2022-03-15,2025-07-03
97085c01-d1dc-444d-a791-bf0dbf5dd0a9,902001d9-3e56-44db-b982-0ba4f290a5aa,Yes,Hackensack Medical Affiliates,Health System,2024-03-08,2025-07-03
f1dfc67d-aeb5-411c-9b97-781c054fd212,e54e4b9c-c4a7-4d09-ac1d-f38e79d6d008,Yes,Princeton Health Group,Clinic,2023-12-23,2025-07-03
04b1e7c8-6353-4b90-9372-a67133790ac2,351f9e47-b452-4336-ae5c-8df68f5ed77e,Yes,Trinitas Regional Medical Center,Medical Group,2020-06-03,2025-07-03
1cea4d0a-964a-4caf-a53a-20a836c01d06,7b9fdc52-ca5a-4a07-905c-ecdd7bea57f5,Yes,Saint Mary's Medical Center,Hospital,2016-11-06,2020-03-07
10ff6f17-95fb-4b00-b89e-bca075d9c832,f70c1796-b984-420a-9395-aea96be6acb3,Yes,Newark General Hospital,Health System,2019-10-18,2025-07-03
1f0540b6-e58a-40df-a91f-2e8d90dae5da,45871a54-0271-485f-bced-009067af9ad4,Yes,Saint Mary's Medical Center,Hospital,2015-08-25,2021-12-09
aa36a816-d14c-4908-8b86-b62bfb5db108,2a9e12d5-2932-44ba-b0e6-dc319520b78e,Yes,Trinitas Regional Medical Center,Hospital,2022-10-03,2025-07-03
2bfb9089-234a-490b-b01d-2b3653628b2c,9b9d267a-d667-4780-989e-4ffd277a0d19,Yes,Newark General Hospital,Hospital,2024-05-30,2025-07-03
363c0d24-1835-404f-acdc-0750c595431c,6c36d11b-9db4-40cf-865c-07bec5bf1b83,Yes,RWJBarnabas Health,Hospital,2024-03-17,2025-07-03
1910c55f-e09e-4bd7-92a7-be76b8c037ff,1aee989d-88cc-41f5-8b9a-444a9ef35ed5,Yes,Jersey Shore Hospital,Hospital,2024-05-08,2025-07-03
9d095946-9eb0-4a6d-bf5e-2dc546d5142e,d276ee85-67a0-4e93-a896-51022ab4dc75,Yes,Hackensack Medical Affiliates,Health System,2021-11-14,2025-07-03
d6e9af32-e306-42ac-ba0e-6c7e88675634,e8003ae1-017e-4965-8f59-a0288b77bcf9,Yes,Trinitas Regional Medical Center,Hospital,2021-02-28,2025-07-03
6aba82f4-3e7f-4c52-af98-055aba3591a4,70ba8bc7-e443-44d7-baa3-60f1dc242ebc,Yes,RWJBarnabas Health,Medical Group,2016-01-25,2025-01-27
d829a34d-8db4-48a4-acb5-63acc80b3ef6,4bb12ebe-d8d5-4509-bd1d-0a3f6f8e9675,Yes,Atlantic Health System,Health System,2016-03-05,2020-04-02
49f2fc2f-b60c-4bc2-8020-0c1897dca01d,05477eee-6ce8-4f1f-990f-57acad6856cc,Yes,Princeton Health Group,Medical Group,2022-07-15,2024-01-01
a86bcf47-8e4f-4b4b-ac8d-d2b89296b618,3ae54472-e608-4feb-b11c-99cdb8d26816,Yes,Trinitas Regional Medical Center,Medical Group,2017-09-14,2022-04-20
23584c6a-52cc-4bcc-8247-f788371f63f5,3322b042-cee3-49d3-900c-1584602cddaf,Yes,Newark General Hospital,Medical Group,2017-09-03,2022-09-29
ca5605c9-269f-499e-a4b9-3008b22d1127,0b551b17-924b-4fa4-b194-e651c76be47f,Yes,Hackensack Medical Affiliates,Medical Group,2017-05-18,2018-10-13
5abb0bf8-2226-489a-8e63-5bdebc5a1283,7e1b39ea-294e-45a3-a9d2-51ebfb5506a3,Yes,Jersey Shore Hospital,Clinic,2017-10-04,2022-08-18
32f24803-07fd-484c-84b3-8c8705efa7c2,e7c06e53-41af-4601-abbe-2abc18d4575e,Yes,Atlantic Health System,Health System,2018-09-03,2024-05-06
b68c6899-2b73-4520-806e-7afd523f1aa8,30ec421c-9223-4a66-b4ee-fc0ec9aead56,Yes,Newark General Hospital,Medical Group,2022-01-14,2025-07-03
72f62286-99c1-432c-8fdf-8d5255413ded,9610dca5-b838-4195-a80b-a0cd61c3dae1,No,,,,
a0376beb-8ce5-4aaa-8f46-de67c641d014,e2568514-9aa9-4d93-94a1-c8d110fae8ba,Yes,Hackensack Medical Affiliates,Clinic,2020-01-16,2025-07-03
d2b58c0e-04d5-4356-a74d-63e2ce4dacfc,3304db93-3970-43ef-85df-e03b8a7c1c0b,Yes,Trinitas Regional Medical Center,Health System,2022-09-24,2025-07-03
126b17db-629e-4b85-a831-39c92d4847b6,7ac6021d-8e5e-4265-b5e5-4e8b701bc251,Yes,Trinitas Regional Medical Center,Clinic,2022-10-06,2025-07-03
e9852b5b-25fb-44c0-a85c-1936242abd9c,8fdd24b2-ef4f-40fc-b91f-eaeddabd1739,No,,,,
5fbc5893-1892-4809-a887-dcaa8423c0d3,eb0c7cab-1a12-42d4-a438-2c157d8580bb,Yes,Hackensack Medical Affiliates,Medical Group,2022-07-05,2025-07-03
595266fc-760f-4693-a642-bed608dcf134,a277c468-95bb-48e8-af96-1171595abca3,Yes,Atlantic Health System,Medical Group,2023-03-05,2025-07-03
9c2201d3-be0a-4143-a89a-7f4bc2d65290,27e11eeb-69ca-48a3-846f-fd25459be6e5,Yes,Newark General Hospital,Clinic,2020-07-18,2023-06-03
25429b68-5b8d-437e-a8b0-ca0c983a3c7c,13e94858-36b2-4ab3-8c71-bc3a17409c99,Yes,Atlantic Health System,Health System,2017-08-27,2024-02-10
a574cbfe-5e80-4c0f-9b88-a2daf8ab2fd7,d0ff5cf7-6d5d-4d76-b404-e0a42315ed11,Yes,Saint Mary's Medical Center,Clinic,2019-05-25,2024-06-02
beb73717-620a-461e-8fb3-4fc25b87c13a,632e1fd1-84be-4df6-aba9-1f20dc30ee2d,Yes,Atlantic Health System,Hospital,2023-12-07,2025-07-03
7b146dbe-72b3-48e7-91a1-25257fc81c58,9f6f70db-3c6e-4268-8ae7-0ea9198a9537,Yes,RWJBarnabas Health,Clinic,2015-10-19,2025-03-29
de3fc3f1-0800-4fba-a8f5-7be27ecc72a3,082bf1f4-0865-4815-8ae7-9f01e46a7f45,Yes,Trinitas Regional Medical Center,Medical Group,2022-08-01,2025-04-29
13330b79-75b4-457a-9189-9bbdc6128336,a11e6f9c-7d3d-42fd-a3d3-c657d1e000ec,Yes,Trinitas Regional Medical Center,Clinic,2015-10-30,2023-03-28
548e1706-7000-439d-a7e4-c16b0318bb3e,55dce869-3983-4c6d-8cb4-90e060761ad9,Yes,Newark General Hospital,Health System,2021-08-12,2024-09-28
a2708246-43f1-44f2-bf77-495c723dc7f0,25c4eff6-fc75-4ef9-81dd-2e69b869d063,Yes,Newark General Hospital,Health System,2016-01-22,2020-11-04
d9ba9e43-4906-4749-9e25-849d6cf73217,e84d7bfb-16b2-4535-afb9-90c9c141f856,Yes,Princeton Health Group,Clinic,2015-07-12,2024-09-14
bf8707a8-e53a-4e50-8937-f38c280bef2f,d191d053-5ac5-42dd-b674-ebfdc774f179,Yes,Jersey Shore Hospital,Hospital,2024-01-11,2025-07-03
daacf4d1-fa07-409f-956e-c2798b73c1d1,82075176-147d-4ed8-af5a-a762e81a0a28,No,,,,
2012db72-7a4b-4a8c-9e07-2086da6f5a67,480ea0d8-c9fa-4423-9881-abbe1412dba1,Yes,Trinitas Regional Medical Center,Clinic,2016-11-01,2017-11-23
74f1c393-b1ec-4010-8a95-ca12563c47de,80b15933-845c-4649-a712-0424011d831d,Yes,Saint Mary's Medical Center,Hospital,2023-09-21,2025-07-03
eba50e69-5f59-4936-aeff-ff60a8079bd8,64f71a25-0307-4cb4-8435-b6fdb4e99740,Yes,Princeton Health Group,Health System,2016-01-04,2021-04-13
8970248d-49e6-45cd-8f1a-e01f177921c8,ad35b703-316e-4a37-bac5-a13c9c1f631c,Yes,Atlantic Health System,Hospital,2023-05-04,2025-07-03
a3ee1732-2e27-406e-be1f-a3b5786c063b,2b2a5c53-058e-410b-8dcb-c3472d16c169,Yes,Princeton Health Group,Hospital,2020-04-11,2025-07-03
fbfa982f-9dea-426c-a768-20e5291275c6,cf905778-7d30-4390-b72f-02a038f43e7f,Yes,Princeton Health Group,Medical Group,2022-12-07,2025-07-03
8b892522-7dec-4978-8efd-a6e0d78ca9a1,22f41144-831c-466a-933c-201a7b241479,Yes,RWJBarnabas Health,Medical Group,2018-01-22,2025-07-03
f2590cc5-184e-4150-a5e4-0a842afa1bac,f0f9a2ea-a830-4843-9885-4c95b019e320,No,,,,
3ee4a311-e884-4bcb-9313-2b03d166725d,10042470-900d-42b3-ae55-13a93e203e4a,Yes,Trinitas Regional Medical Center,Clinic,2021-04-17,2025-07-03
412390b7-6b4f-4cd0-8835-652b0a5eb8e9,a7d27add-a2dc-497b-8b7a-886c4a9c5eb6,Yes,Jersey Shore Hospital,Medical Group,2021-08-06,2025-07-03
c2c485ba-78ca-4d8e-a7b9-a54bfc1b8886,b7a57fdd-e105-46d1-a254-286194778611,Yes,RWJBarnabas Health,Health System,2015-11-28,2017-07-25
f86dbd04-2e34-4348-9ef9-e45cb2ce90e4,094adfe3-8843-478b-88ab-ed710f40539a,Yes,Princeton Health Group,Health System,2019-05-17,2025-07-03
b56a0870-28ef-4bdc-ad36-b42cf16c0188,fb35fedf-c7d1-4654-9cd8-77e1e7d21cfc,No,,,,
0d0858b7-a491-4ba3-8541-4ad260169368,127d31f8-2687-4e62-8119-2e10a84c96a2,Yes,Trinitas Regional Medical Center,Hospital,2023-07-22,2025-07-03
f5a6aceb-492e-44e4-8af5-0a5b62b20586,df610cde-5ccb-468d-8e4b-62c8f0294753,Yes,Newark General Hospital,Clinic,2021-07-31,2025-07-03
14579eac-4af5-47c2-9dbb-d60bda29c994,4473c53c-4bf3-429a-80ea-c4c2a90f9963,Yes,Saint Mary's Medical Center,Clinic,2016-10-20,2025-04-30
f8a06567-e389-4c02-a617-14a872fec953,44dc7f18-5321-41b0-9522-08485299b530,Yes,Atlantic Health System,Health System,2023-12-17,2025-07-03
5d252595-214d-4081-8657-dc0b5c593409,5d36ff46-2549-497a-961e-a023fbcd929b,Yes,Jersey Shore Hospital,Clinic,2020-06-18,2025-07-03
a44c360c-4bb8-4804-a242-c5d191b5779d,c9395ac6-6a0b-4c04-8a42-18b38a981ee1,Yes,Atlantic Health System,Medical Group,2019-11-04,2023-09-12
6c5a4743-b0d3-4822-9c6f-03e513b771eb,1646d5c3-b369-4b60-9f3f-4352d7b2f30d,Yes,Atlantic Health System,Health System,2021-01-20,2023-05-22
a9f3aa6a-a2e8-4d8f-9062-00b7e061def7,c1e04354-4da4-4d77-9bf0-b6392e081645,Yes,Newark General Hospital,Hospital,2015-12-12,2016-12-13
a4b8bb7e-74c9-4937-ae21-750deb3a676b,8935e156-3d86-4155-91d7-73002675f5a8,Yes,Princeton Health Group,Medical Group,2017-04-07,2025-07-03
df1bd0dd-f040-4865-8655-4623dbe27c92,b3639244-27a4-45ea-bffd-2241c6ed2ad7,Yes,Hackensack Medical Affiliates,Medical Group,2018-02-01,2020-04-01
88e9c853-9375-47f7-ad2c-c99e6579b494,c553cb12-8f28-407b-9549-14d6116dbb5b,Yes,Atlantic Health System,Hospital,2018-03-31,2025-07-03
00bcdd8b-65ae-4c9e-8fb9-ba0be2eba145,1c62bcfd-5b18-44dd-afeb-c7aeb61b1b11,Yes,RWJBarnabas Health,Hospital,2024-05-24,2025-07-03
2cdb17f0-d8d8-4312-8dc3-f9e3e3fdd8cc,d3f2154f-08d5-4e1d-a9fc-c21644a9456e,No,,,,
251c79e1-6e9a-4196-b384-fd81dcc6c47c,df06a851-279b-4d85-a38d-445945cf7147,Yes,RWJBarnabas Health,Hospital,2016-06-12,2019-10-11
b149ae18-f949-442f-9619-c4e62abb02e9,c8b6977c-06ef-4a83-9521-c6a89cea2cad,Yes,Jersey Shore Hospital,Health System,2022-11-25,2025-01-10
62fd224a-b755-430c-a26a-d59309a31eeb,10133f30-bb6e-4c55-8a34-089aeabce301,Yes,Jersey Shore Hospital,Hospital,2023-11-15,2025-07-03
610400f0-8178-42cd-b53b-99a69b21361f,4fdc34aa-9734-4c83-ae0b-7c089e6c4760,Yes,Jersey Shore Hospital,Health System,2016-10-12,2024-10-07
023caa43-2fe7-42d1-9931-70deeb2de422,9d3ccede-bab2-42e1-9442-ab950655f08c,Yes,Jersey Shore Hospital,Clinic,2020-04-24,2025-07-03
8a6f861a-d684-4789-80d0-4822b6592228,c397694e-8cf6-4b8a-9bf4-446151152544,Yes,Newark General Hospital,Medical Group,2023-07-04,2025-07-03
a315b34e-730c-47f0-9b9b-d079d882b851,ac5bc6d1-e213-418d-b7c8-d3c8c00c58e1,Yes,Jersey Shore Hospital,Hospital,2016-07-04,2023-05-30
2a6e16f3-32c2-4ee9-8d4b-43e32abd6131,59c67895-96d7-40c5-bcf5-e59dd3aa1641,No,,,,
69b4a64c-4b92-475f-8b1b-3ef151e373e0,4257baac-1d07-4d57-9a8a-2f013dc54b57,Yes,Princeton Health Group,Hospital,2016-09-27,2023-06-14
1bed179c-30e1-4378-8e58-5d52ae96a79f,7a895151-d730-433e-8ace-5ed4fcbe88a6,Yes,Jersey Shore Hospital,Clinic,2020-07-04,2025-07-03
4346795b-d816-419f-a2ab-bd436f22aa86,32c109a5-0abf-4788-8eb8-fa32f15bafdc,Yes,Hackensack Medical Affiliates,Hospital,2021-05-03,2025-07-03
ef78921d-c4b1-4bc5-bf61-2502a0fe329c,67a34e9d-291b-4bc2-93ac-5ffdb7747bb1,Yes,Trinitas Regional Medical Center,Health System,2016-07-22,2019-02-15
e0d0610c-faae-472e-b49e-5070901ce0c8,20fa8b34-0280-4720-81f6-b37d200b1563,Yes,Saint Mary's Medical Center,Clinic,2023-04-29,2025-07-03
4863f859-d18f-4b9d-88fb-19c6c5dd1f8b,a86d34b1-71bd-42da-bc7d-53caa1f179c6,Yes,Jersey Shore Hospital,Hospital,2023-10-27,2025-07-03
d1d18636-2953-469a-ae94-a3ecb0882a0a,1f0dc1c1-52be-4cd1-8297-8b7c3ced68fc,Yes,Saint Mary's Medical Center,Clinic,2016-07-19,2019-11-17
df8015a0-f0c1-4742-b28b-f588bce578ee,afa800a4-62f1-47d6-8ce9-114fdb59d5b3,Yes,Jersey Shore Hospital,Hospital,2017-04-02,2022-09-07
2763b598-61f2-472d-a569-5678361c44f5,d0adef26-0102-477f-a1bc-90c3a0af8bc7,No,,,,
fd74785d-b0c5-4a58-907d-0183d6a72fb1,231a354d-87f8-4de5-a0cf-ef7bae17469d,Yes,Princeton Health Group,Health System,2019-10-13,2024-09-23
118724fd-1fbe-4bfc-9e4b-05a493372fba,6d57a68f-5e1b-4531-8f09-6953c4f585dd,Yes,Princeton Health Group,Health System,2021-02-22,2025-07-03
53990725-a772-4959-9c23-d06eb3c93649,03b7592d-c67a-421d-924a-ea4ac1dc5f21,Yes,RWJBarnabas Health,Medical Group,2022-04-06,2025-07-03
e85c456e-9052-4e5f-859f-079d27220afa,580b2f27-9504-423e-9942-952f3c80ca0e,Yes,Atlantic Health System,Medical Group,2018-01-21,2022-10-27
3e1954df-7168-4240-adea-e826878217ff,df502cd2-ef05-45ae-8be6-d7148d5d1ba0,Yes,Newark General Hospital,Health System,2021-06-26,2025-07-03
9a2d32b6-664a-426d-a359-ec69ca052432,368d1ea8-833c-44b5-b277-afa0c87718f0,Yes,Princeton Health Group,Clinic,2023-08-19,2025-07-03
a39e348e-4c1e-4e6f-bcfb-1eb25b9df746,71e84d8f-fcfe-42ea-a84b-544f18eb9aad,Yes,Trinitas Regional Medical Center,Hospital,2018-10-17,2024-05-09
c952bd5f-c36b-4aa5-94cf-43a28f31995d,35a8ddec-9b91-4cf7-b0e4-85046f68983b,Yes,Newark General Hospital,Health System,2023-01-30,2025-07-03
0175b577-3fc8-4c00-b173-2e5cf0e410ec,807ff91d-0631-49b4-9e85-559e2235063d,Yes,Princeton Health Group,Hospital,2016-08-07,2024-11-13
84508579-31b2-417e-b69a-5abd78f87354,49094333-fdf2-402a-9aa9-318f14d8e3df,Yes,Jersey Shore Hospital,Clinic,2019-12-07,2025-07-03
c3b048f7-5f40-4d21-9fbe-8ce8cefd909b,59d33c74-24e5-4529-b6c2-146a39dae99e,Yes,Newark General Hospital,Health System,2015-07-03,2017-05-31
92bfed59-e03c-4f3f-944d-ea5d8300df96,be56653e-19ce-4626-8d69-5e9bbf03b8e3,Yes,Trinitas Regional Medical Center,Hospital,2015-07-24,2016-11-02
4c8d41f5-4527-40f7-8340-3cfc7da257dc,8d158519-f627-4956-aefa-8faac8c10d1c,Yes,Newark General Hospital,Health System,2023-05-11,2025-07-03
a19591ce-3829-4d33-b97a-90c92e8decf8,f01a744a-06fc-4d3d-be73-896781c0a734,No,,,,
73db85f2-a362-4fca-8660-b212a9d8f50a,27998d94-3caf-4be7-acac-a1748bb9c024,Yes,Trinitas Regional Medical Center,Health System,2024-03-03,2025-07-03
1bd040b9-b9a9-47a4-bbde-538bcb467ff0,807b0bec-79df-424b-ba68-7f0571154530,Yes,Jersey Shore Hospital,Medical Group,2020-04-03,2022-11-09
49ccdb82-e238-4692-88cc-b0ded480b5da,29277274-1965-4780-ab67-1d1107e0cec4,Yes,Hackensack Medical Affiliates,Medical Group,2017-09-16,2021-09-28
3c9abd9a-49f8-4430-9c01-65ef054549b8,bcf0e2d9-5d99-42f0-b37b-65a3bc3ba9cc,Yes,Atlantic Health System,Medical Group,2017-10-18,2020-09-10
5a5acd41-fc53-4b21-8430-3665d86cc6fe,94e32d1c-2020-4ff2-aa03-8bae9c0d15f8,No,,,,
06e5e878-6a10-4df0-b3e0-e91e841d371d,b2e98150-e236-4327-a593-846122a27c0c,Yes,Saint Mary's Medical Center,Clinic,2019-02-10,2022-11-10
09fa690d-9f23-46ca-a071-63b61be58409,ad947b1c-06fa-4e50-ad4b-a0da8df79065,Yes,Hackensack Medical Affiliates,Health System,2022-01-13,2025-07-03
878606ba-bed9-4985-b366-4dcc899bfc8e,ef113ae8-24ec-4113-a195-7f7e3b67a857,No,,,,
a8f667cf-62e1-49a9-8069-e590a9804972,2fa8b6ef-fad7-402a-8af7-6ea7c5c508ab,Yes,Trinitas Regional Medical Center,Health System,2016-03-03,2025-05-04
42df5ecb-56cb-41f6-95ed-2cf5cde23ce4,080380ed-9024-4a9c-81f1-118a0ea3c959,Yes,Hackensack Medical Affiliates,Health System,2024-05-20,2025-07-03
f5337948-8cf8-4603-bf2b-1c6c6d5d88ed,42f03156-632a-43ed-b6b6-65f187b4ffe0,Yes,Princeton Health Group,Clinic,2020-06-14,2022-07-23
aa38fb91-d882-4ff9-9ac6-d054163041a2,88827314-f42c-4f26-89aa-a9b2183e24c5,Yes,Atlantic Health System,Medical Group,2023-01-22,2025-07-03
3fe437d6-4d6c-413c-8a64-219f8e91900f,78beac96-4a2c-4a26-a32c-8adcc4c6e37d,Yes,Atlantic Health System,Medical Group,2019-10-18,2025-07-03
