SpecialityID,ProviderID,ProviderSpecialityCode,ProviderSpecialityType,ProviderSpecialityName,ProviderSpecialityStartDate,ProviderSpecialityEndDate
8026328c-56ba-48bf-8533-43fab5aaaeb2,5e5c3106-986b-44be-97eb-9f46a5a489af,207Q00000X,Primary,Family Medicine,2018-02-25,
22aa7ef7-955e-4ab4-a953-5762b95a8b00,a5ef6619-235d-4bd6-bd71-0320f9068fce,207V00000X,Primary,Obstetrics & Gynecology,2017-08-23,
b1ecf396-3b7e-4c96-8f13-b816a7b292f1,0f365f3e-3d4a-4550-b79d-3a83042c35e4,208C00000X,Secondary,Cardiology,2018-12-12,2019-10-05
3a6bef6e-a7a0-4fe2-8cd4-2a095a758594,3b8a4d21-b65e-45e2-8617-e4941185da70,207V00000X,Primary,Obstetrics & Gynecology,2022-05-15,
ee9a44f4-bfee-41da-8315-abc370eb9f28,ff778806-4dae-43dd-aaac-cb352124631c,207N00000X,Primary,Pediatrics,2016-09-02,
c7f239c9-5eec-4974-a2d6-d729b1d658a4,ae9ecaac-9e40-4ae6-b1ea-c5eca580a5e7,208C00000X,Secondary,Cardiology,2022-12-19,
f142ee9e-4b6a-4a81-9683-6700061e91d0,07224516-b4a4-413d-be35-7c77feae762e,207R00000X,Primary,Internal Medicine,2016-02-07,2016-12-29
add1ff59-b1e9-46b5-8482-7211987ce93f,c251fe9a-3349-48c5-be0b-7c2f1cadffae,208D00000X,Secondary,General Practice,2017-12-20,
c314aad5-44e3-46d9-b594-d7e9e2f14408,a5753cfd-e116-46e3-832c-322deb56ad51,207N00000X,Primary,Pediatrics,2023-05-16,
a902d818-59ba-4f88-b41f-939ac37ecb5d,8ea72e86-31c2-48e6-8c4d-0b9da94c1ba5,208Z00000X,Secondary,Geriatric Medicine,2023-05-25,
541fa9b0-326f-480c-a05b-a237d5b81f93,6d0399d0-80c3-4e57-be67-a60a8ebcf29f,207R00000X,Primary,Internal Medicine,2020-10-13,
ce315d7c-7f23-47da-a8ce-9335cbe7e646,74fc251c-8871-4f2a-bf52-624b8d02146a,207R00000X,Primary,Internal Medicine,2019-05-03,
67771376-1c74-4efe-836a-a534a418c2b8,0631ab1c-918d-409c-9bab-cbc5ee696a9a,208D00000X,Secondary,General Practice,2023-05-25,
7c082b0c-d6b3-4a28-928b-d15a12a9c367,f37dcee0-7721-47ba-8969-87ff8bd6bf37,207Q00000X,Primary,Family Medicine,2018-07-12,
9c110c90-eac5-4d64-a4c4-a5a3a9bf8048,953b1c02-1417-441f-91c6-ee221e2287cb,207Q00000X,Primary,Family Medicine,2015-11-20,
128a24e5-4873-4be8-9314-1651d316d5dd,2d7635a4-6a05-47d2-a777-f09ecdea715e,208VP0000X,Secondary,Psychiatry,2018-08-11,
9d679837-b90e-46eb-aed3-db1bb5d518f4,04382426-bcb1-4f57-a277-23aa43da3cca,207V00000X,Primary,Obstetrics & Gynecology,2024-01-08,2024-06-17
d08e918d-c482-4793-a719-510748588d9a,0fb21727-53f6-49b8-90b8-8d96a9e3d449,208VP0000X,Secondary,Psychiatry,2022-03-31,
aba7cc11-4239-41f7-8af7-42525dad8480,0e604b67-5a4c-43c2-8e51-21d7f72fa835,207N00000X,Primary,Pediatrics,2016-10-20,
9176347c-235b-4547-afff-d4909057bbb6,b343e6df-ba9e-4ed3-a707-438eec4ffbd6,207R00000X,Primary,Internal Medicine,2024-03-20,
9bb23119-3eee-4f08-87a5-2d38c7aec83e,caf691bc-fdf6-4d78-b993-d57d2bdd9f86,208VP0000X,Secondary,Psychiatry,2024-10-12,2025-05-04
a51367b3-9f0a-4634-b5f5-53bd28f1d9ed,f38be03a-194b-4f77-ba69-863d32cdf462,207V00000X,Primary,Obstetrics & Gynecology,2024-07-04,
87608f41-b4e7-46ca-903a-e960152e07c8,45ba9ed2-6820-4102-8b06-7ae8db71bef5,207Q00000X,Primary,Family Medicine,2024-08-23,
84a488c7-ea45-44e4-956b-bdba36a3c2a1,280d1b57-043a-4dde-ba4f-b9f422fdd34e,208VP0000X,Secondary,Psychiatry,2015-07-12,
08c0787e-3dc8-4799-8617-26319b7450fd,831c77c0-c8ab-4c95-bba3-141d3efa7d66,207N00000X,Primary,Pediatrics,2020-10-01,
e3dd7eab-af3e-4f7e-b887-09c1e9cf533e,3c871099-1705-4091-ab59-8009e3e8411f,208Z00000X,Secondary,Geriatric Medicine,2019-10-01,
787d8bb2-f213-4259-ba7a-39bdcb8e40d5,07cc3beb-f837-4bd1-9088-9dd34f2a317d,208VP0000X,Secondary,Psychiatry,2020-08-09,
52202786-173e-4177-a6ef-0f553c088156,5b576ae3-bece-4405-b29f-3c3f9b813c50,208C00000X,Secondary,Cardiology,2020-11-03,
a83aab83-6e19-490a-b881-2fce7759b52a,66a016bf-9ac4-4cec-a4ce-88aa3f5ee524,207Q00000X,Primary,Family Medicine,2020-12-29,
7bafdbbe-caaa-46db-b6dc-cd1958a4b2fd,aa36c072-0786-4592-95b0-9ab17ce3c085,208C00000X,Secondary,Cardiology,2021-05-31,
2ce067d8-b92d-4bbe-960a-81799bbe7e37,de3496bc-b6a9-4482-bbe8-0da045702258,208VP0000X,Secondary,Psychiatry,2024-08-02,
8e186497-f66c-40ec-8f28-ce0073f6bac1,5b7ee38c-0ff7-4727-b562-e91e6e8501b2,208VP0000X,Secondary,Psychiatry,2024-01-23,
f8822b51-daac-4b41-881f-25b0ee393552,8f188e40-18f0-4fbf-a057-af60ad8bc45b,207R00000X,Primary,Internal Medicine,2024-08-15,
9deda5b4-d626-482e-8a99-e1dd04cde9b9,3258b659-2b80-4dd2-8c38-2f129eaa4749,207R00000X,Primary,Internal Medicine,2019-07-10,
d4a68821-0c3a-45be-a136-7941dfd81800,2234a4c4-5b50-44df-ab49-0a655766e8f4,208Z00000X,Secondary,Geriatric Medicine,2021-06-09,
2b06ecfb-50ba-45fe-8755-3eea4b8d2c45,fb26bdf8-8d33-43dd-96bb-4730c6f538a9,207Q00000X,Primary,Family Medicine,2024-09-25,
6d878eaa-f2dd-4d65-9ece-97f069c2e8e2,3b26d193-e3aa-4f94-8dd1-9e509565ee95,208C00000X,Secondary,Cardiology,2025-03-13,
9d8a3c80-c04c-4db5-b2ff-c0f079b7d79b,902001d9-3e56-44db-b982-0ba4f290a5aa,207N00000X,Primary,Pediatrics,2020-07-13,
64e1a066-e8e0-4866-b578-36d746cbdb40,e54e4b9c-c4a7-4d09-ac1d-f38e79d6d008,207Q00000X,Primary,Family Medicine,2021-10-18,2025-02-25
fe137344-cd12-42c3-b9e1-6a038d5dfa13,351f9e47-b452-4336-ae5c-8df68f5ed77e,208VP0000X,Secondary,Psychiatry,2022-04-25,
86a0bd26-7f87-4ade-bf4d-d62dd09b2598,7b9fdc52-ca5a-4a07-905c-ecdd7bea57f5,208VP0000X,Secondary,Psychiatry,2023-10-16,
0b72b686-4d87-4744-9479-bc58e73c199b,f70c1796-b984-420a-9395-aea96be6acb3,207Q00000X,Primary,Family Medicine,2023-02-04,
00b30a5d-9314-427b-80dd-6ab694f97b83,45871a54-0271-485f-bced-009067af9ad4,207V00000X,Primary,Obstetrics & Gynecology,2021-09-13,
031e7a9c-2a95-4c9c-b516-f94651a33caf,2a9e12d5-2932-44ba-b0e6-dc319520b78e,207R00000X,Primary,Internal Medicine,2023-09-08,
a108c216-aa4c-4c9d-adfe-c23cfe550cf4,9b9d267a-d667-4780-989e-4ffd277a0d19,207Q00000X,Primary,Family Medicine,2016-05-29,
c1d827da-9432-4eb8-a377-d12598714dd5,6c36d11b-9db4-40cf-865c-07bec5bf1b83,208D00000X,Secondary,General Practice,2021-10-16,
c34a5cfb-029e-4681-83e3-6ffb942fd155,1aee989d-88cc-41f5-8b9a-444a9ef35ed5,208Z00000X,Secondary,Geriatric Medicine,2020-01-31,
597c5a02-0610-4394-8d21-90edfc90d85e,d276ee85-67a0-4e93-a896-51022ab4dc75,208VP0000X,Secondary,Psychiatry,2019-01-05,
1dc579e4-c6a6-43c8-bbf2-ac9fbbeb881a,e8003ae1-017e-4965-8f59-a0288b77bcf9,208D00000X,Secondary,General Practice,2020-08-31,
2abd95f5-ef62-4cff-8a93-175a5cafc575,70ba8bc7-e443-44d7-baa3-60f1dc242ebc,208Z00000X,Secondary,Geriatric Medicine,2015-10-10,
99b1e130-b6a2-4f07-91f3-b821f12f052b,4bb12ebe-d8d5-4509-bd1d-0a3f6f8e9675,208VP0000X,Secondary,Psychiatry,2019-07-31,
f40c19ac-e8b5-487e-8842-59335fd944ee,05477eee-6ce8-4f1f-990f-57acad6856cc,208VP0000X,Secondary,Psychiatry,2024-02-11,
c8a1196d-4d7e-4e3a-a790-5b3ffbd284a8,3ae54472-e608-4feb-b11c-99cdb8d26816,207V00000X,Primary,Obstetrics & Gynecology,2018-04-30,
b2f1c7e6-bf32-4084-8745-b20072151fbd,3322b042-cee3-49d3-900c-1584602cddaf,208Z00000X,Secondary,Geriatric Medicine,2025-05-05,
aa381649-55b1-49e7-bae6-0832e5f300e8,0b551b17-924b-4fa4-b194-e651c76be47f,207Q00000X,Primary,Family Medicine,2024-01-18,2025-03-14
61ddf28f-9803-4202-893c-e75af8e34ac7,7e1b39ea-294e-45a3-a9d2-51ebfb5506a3,207V00000X,Primary,Obstetrics & Gynecology,2023-04-08,
8c8b5f91-2a04-48e2-9f3a-e9fb41340502,e7c06e53-41af-4601-abbe-2abc18d4575e,207R00000X,Primary,Internal Medicine,2024-11-26,
8142d9ab-9427-435e-b7d8-74cc7597ddd2,30ec421c-9223-4a66-b4ee-fc0ec9aead56,207N00000X,Primary,Pediatrics,2015-10-25,
405f288d-d35b-4f2a-9877-7114cd1542ae,9610dca5-b838-4195-a80b-a0cd61c3dae1,208Z00000X,Secondary,Geriatric Medicine,2015-11-21,
db22d865-ccce-4b74-87bb-90017baa3bf4,e2568514-9aa9-4d93-94a1-c8d110fae8ba,207Q00000X,Primary,Family Medicine,2020-12-17,
d4f8123c-f7e3-450c-bd01-d38d0acc2291,3304db93-3970-43ef-85df-e03b8a7c1c0b,207N00000X,Primary,Pediatrics,2021-08-06,
fa4e2144-62f4-45a4-868c-80ae9e1d54e8,7ac6021d-8e5e-4265-b5e5-4e8b701bc251,208C00000X,Secondary,Cardiology,2019-07-24,2020-11-15
4cff1be1-8482-4ca3-a8f8-46c957add6e7,8fdd24b2-ef4f-40fc-b91f-eaeddabd1739,208Z00000X,Secondary,Geriatric Medicine,2019-11-09,
4295ff3e-c184-4e11-8eae-34fe361a448d,eb0c7cab-1a12-42d4-a438-2c157d8580bb,207R00000X,Primary,Internal Medicine,2019-08-08,
b69e800f-2975-47d2-8d8d-99d50515d24c,a277c468-95bb-48e8-af96-1171595abca3,208C00000X,Secondary,Cardiology,2021-11-13,
43ab9540-46a7-44ba-8c49-097e046c557f,27e11eeb-69ca-48a3-846f-fd25459be6e5,207N00000X,Primary,Pediatrics,2023-10-27,
09b3eec7-16ae-4ed6-9c05-af5f06fd736e,13e94858-36b2-4ab3-8c71-bc3a17409c99,208D00000X,Secondary,General Practice,2021-02-14,
dab51d34-fcb3-46fd-8f1c-9b327cb64eb2,d0ff5cf7-6d5d-4d76-b404-e0a42315ed11,208C00000X,Secondary,Cardiology,2023-10-29,2024-08-25
92cdb03e-d96d-45d1-bcbf-37a8f5228e1c,632e1fd1-84be-4df6-aba9-1f20dc30ee2d,207Q00000X,Primary,Family Medicine,2021-10-06,
bec2cc37-77ce-4322-8533-b6563ee4359b,9f6f70db-3c6e-4268-8ae7-0ea9198a9537,208D00000X,Secondary,General Practice,2021-06-05,2021-11-22
6c67dac5-0666-451b-81dd-c0985d6c0822,082bf1f4-0865-4815-8ae7-9f01e46a7f45,207V00000X,Primary,Obstetrics & Gynecology,2018-06-20,2018-09-16
c11b7748-d4f8-45cf-a83e-d10963e821ba,a11e6f9c-7d3d-42fd-a3d3-c657d1e000ec,208VP0000X,Secondary,Psychiatry,2020-01-04,
00b5bf44-a7ac-42f3-ab7e-bf6cafacdf2b,55dce869-3983-4c6d-8cb4-90e060761ad9,207R00000X,Primary,Internal Medicine,2021-12-19,2025-02-17
8dfdfa47-f504-4792-aa9e-69f04ab704dd,25c4eff6-fc75-4ef9-81dd-2e69b869d063,208C00000X,Secondary,Cardiology,2025-05-09,
2340f77c-aeee-4d95-8625-a4f1e9ab6a37,e84d7bfb-16b2-4535-afb9-90c9c141f856,207R00000X,Primary,Internal Medicine,2024-08-14,
7c74dc91-2e4c-482b-9634-462de98afe9f,d191d053-5ac5-42dd-b674-ebfdc774f179,207V00000X,Primary,Obstetrics & Gynecology,2017-11-04,
73f83c07-23ea-46bf-95ad-1d36a98ac151,82075176-147d-4ed8-af5a-a762e81a0a28,207V00000X,Primary,Obstetrics & Gynecology,2022-01-05,
67e49a63-9e65-460a-a79f-8611c24a3cb8,480ea0d8-c9fa-4423-9881-abbe1412dba1,207N00000X,Primary,Pediatrics,2024-07-27,2024-08-30
a572dd51-5b70-4621-81d8-0c987216fde6,80b15933-845c-4649-a712-0424011d831d,207R00000X,Primary,Internal Medicine,2015-08-14,
a9f08fd5-3538-47b0-85c3-8eef2c1fde4a,64f71a25-0307-4cb4-8435-b6fdb4e99740,207V00000X,Primary,Obstetrics & Gynecology,2023-11-23,
b72e55c8-38ca-4826-a731-7815b866c26d,ad35b703-316e-4a37-bac5-a13c9c1f631c,208C00000X,Secondary,Cardiology,2019-01-30,2019-02-09
e6db88c4-93cf-43f1-bea3-baf1dc66ed6e,2b2a5c53-058e-410b-8dcb-c3472d16c169,207N00000X,Primary,Pediatrics,2018-03-02,
8a382ea8-3274-4aa3-b932-6bfb9d3529c6,cf905778-7d30-4390-b72f-02a038f43e7f,207Q00000X,Primary,Family Medicine,2020-06-13,
beb45919-1615-4320-8847-08ddfadccc97,22f41144-831c-466a-933c-201a7b241479,208Z00000X,Secondary,Geriatric Medicine,2017-03-04,
6d3ca95f-9303-42aa-a5af-fd75bc6bb867,f0f9a2ea-a830-4843-9885-4c95b019e320,207N00000X,Primary,Pediatrics,2023-11-24,
87910472-58a7-49b1-874a-5ce016408089,10042470-900d-42b3-ae55-13a93e203e4a,208C00000X,Secondary,Cardiology,2024-07-16,
fa6668f5-a036-470f-bb6f-13df194d9aa9,a7d27add-a2dc-497b-8b7a-886c4a9c5eb6,207N00000X,Primary,Pediatrics,2022-02-23,
635da5d3-1e97-4dd1-ad10-74db6b1ac43f,b7a57fdd-e105-46d1-a254-286194778611,208C00000X,Secondary,Cardiology,2021-08-19,
3519a999-3186-4aa1-9b0d-75d3fb294856,094adfe3-8843-478b-88ab-ed710f40539a,208Z00000X,Secondary,Geriatric Medicine,2021-12-21,2022-01-26
0506f64d-63dc-45e4-9874-8a69fb2d6ff1,fb35fedf-c7d1-4654-9cd8-77e1e7d21cfc,208D00000X,Secondary,General Practice,2018-04-18,
26cc51a0-c707-4cb1-97c6-b80716fb6715,127d31f8-2687-4e62-8119-2e10a84c96a2,207V00000X,Primary,Obstetrics & Gynecology,2022-02-16,
93d846d0-285d-4739-9e5c-17b9e81d7ce1,df610cde-5ccb-468d-8e4b-62c8f0294753,207R00000X,Primary,Internal Medicine,2021-10-29,2023-10-03
f1c9200c-685b-4202-863e-cbd115456ba4,4473c53c-4bf3-429a-80ea-c4c2a90f9963,208D00000X,Secondary,General Practice,2019-09-10,
5a53b557-20e5-4331-be94-adb4d6b9d49b,44dc7f18-5321-41b0-9522-08485299b530,208D00000X,Secondary,General Practice,2023-07-03,2024-04-30
084f17c2-b816-415c-9687-6b64f856ee3a,5d36ff46-2549-497a-961e-a023fbcd929b,207V00000X,Primary,Obstetrics & Gynecology,2019-05-28,
47a3211b-c6ab-47e3-beb6-f06aa288af65,c9395ac6-6a0b-4c04-8a42-18b38a981ee1,208C00000X,Secondary,Cardiology,2020-06-26,
aea09ca5-e7a2-466e-b194-b91d490a2ff2,1646d5c3-b369-4b60-9f3f-4352d7b2f30d,207N00000X,Primary,Pediatrics,2023-09-19,
7e1d9db4-bf0b-4274-b6f4-928e0b3acc28,c1e04354-4da4-4d77-9bf0-b6392e081645,207Q00000X,Primary,Family Medicine,2022-10-14,2023-03-13
7c27e85d-f136-4862-b231-c29d4f212945,8935e156-3d86-4155-91d7-73002675f5a8,208VP0000X,Secondary,Psychiatry,2021-09-05,
f2adbaaf-663b-4fd3-b3f5-64c99119854a,b3639244-27a4-45ea-bffd-2241c6ed2ad7,207R00000X,Primary,Internal Medicine,2023-01-02,
2e38c68c-b3ed-496d-8496-adf72e85f22b,c553cb12-8f28-407b-9549-14d6116dbb5b,207Q00000X,Primary,Family Medicine,2018-02-27,2022-06-02
227e58ec-a474-4407-a495-5ea79f42c606,1c62bcfd-5b18-44dd-afeb-c7aeb61b1b11,208Z00000X,Secondary,Geriatric Medicine,2019-07-28,
45fceed9-7971-410d-bb1a-8a00061527d0,d3f2154f-08d5-4e1d-a9fc-c21644a9456e,207Q00000X,Primary,Family Medicine,2020-08-18,
f61d79b8-e18e-4eb7-8196-28b033aee284,df06a851-279b-4d85-a38d-445945cf7147,207V00000X,Primary,Obstetrics & Gynecology,2017-05-17,
435d2494-db36-4efe-952b-e8ff63196e12,c8b6977c-06ef-4a83-9521-c6a89cea2cad,207Q00000X,Primary,Family Medicine,2017-06-09,
43e58a3b-0b6c-4a36-bd30-516c3bd3aeca,10133f30-bb6e-4c55-8a34-089aeabce301,207V00000X,Primary,Obstetrics & Gynecology,2020-07-06,
f055cdc3-4a3a-4979-9bce-462a874c8fad,4fdc34aa-9734-4c83-ae0b-7c089e6c4760,207N00000X,Primary,Pediatrics,2022-10-25,2024-01-30
50bdd605-6090-4392-8c71-12ef01a01f97,9d3ccede-bab2-42e1-9442-ab950655f08c,207N00000X,Primary,Pediatrics,2021-07-09,
0ea188db-a81c-4d16-9595-cff86facdf1c,c397694e-8cf6-4b8a-9bf4-446151152544,208VP0000X,Secondary,Psychiatry,2018-09-12,
20281cec-4ab6-495e-b628-6d6e83cd1a23,ac5bc6d1-e213-418d-b7c8-d3c8c00c58e1,208Z00000X,Secondary,Geriatric Medicine,2019-05-22,2023-10-18
04b30d0d-3748-4d92-ab43-886ee07c6f2a,59c67895-96d7-40c5-bcf5-e59dd3aa1641,208VP0000X,Secondary,Psychiatry,2016-01-29,
74f1980c-fb59-4496-8675-55c483f6a818,4257baac-1d07-4d57-9a8a-2f013dc54b57,207V00000X,Primary,Obstetrics & Gynecology,2024-04-13,
a133a8fa-aae7-4d9f-bc03-04174979e11a,7a895151-d730-433e-8ace-5ed4fcbe88a6,207V00000X,Primary,Obstetrics & Gynecology,2024-07-27,
43d20aa6-0168-4ae8-abe4-063be36972b3,32c109a5-0abf-4788-8eb8-fa32f15bafdc,207Q00000X,Primary,Family Medicine,2022-07-27,
8b50b39d-f9a9-4fd1-adb6-ac01be5a3b2f,67a34e9d-291b-4bc2-93ac-5ffdb7747bb1,208D00000X,Secondary,General Practice,2024-03-17,
bb9e48ab-c8ca-4f1e-bac0-3afeb67a5829,20fa8b34-0280-4720-81f6-b37d200b1563,207N00000X,Primary,Pediatrics,2025-02-07,
83321979-99fa-45da-84f1-38421709dd72,a86d34b1-71bd-42da-bc7d-53caa1f179c6,207Q00000X,Primary,Family Medicine,2019-01-19,
720187e8-c413-4339-b383-69658da714dc,1f0dc1c1-52be-4cd1-8297-8b7c3ced68fc,208VP0000X,Secondary,Psychiatry,2020-10-04,
023d7dec-33a5-40fa-a141-2240501baeb8,afa800a4-62f1-47d6-8ce9-114fdb59d5b3,207Q00000X,Primary,Family Medicine,2019-05-14,
aa179189-0b5c-4cca-bbee-c0f1153b5426,d0adef26-0102-477f-a1bc-90c3a0af8bc7,208C00000X,Secondary,Cardiology,2017-09-05,
fd424d03-dadf-4a6b-9ccd-0624433d95e6,231a354d-87f8-4de5-a0cf-ef7bae17469d,208VP0000X,Secondary,Psychiatry,2022-10-01,
01b9bd90-93dc-4ce1-abd8-6f5435d6ffa5,6d57a68f-5e1b-4531-8f09-6953c4f585dd,207R00000X,Primary,Internal Medicine,2025-05-19,2025-06-09
8666decb-f50b-40e1-83df-f3f65c14bbe2,03b7592d-c67a-421d-924a-ea4ac1dc5f21,208C00000X,Secondary,Cardiology,2021-01-18,2023-05-06
aa6e4d76-8d2f-4a33-9d8c-69f71d317472,580b2f27-9504-423e-9942-952f3c80ca0e,208C00000X,Secondary,Cardiology,2023-10-28,
7e5d4007-340c-4217-bcc4-a7812148f05c,df502cd2-ef05-45ae-8be6-d7148d5d1ba0,208C00000X,Secondary,Cardiology,2018-04-27,
9b2673c8-a8a2-475a-ba46-c3afeed032ea,368d1ea8-833c-44b5-b277-afa0c87718f0,208C00000X,Secondary,Cardiology,2017-12-26,
db28b9c5-200a-41e0-80b4-3f381a523e3f,71e84d8f-fcfe-42ea-a84b-544f18eb9aad,208Z00000X,Secondary,Geriatric Medicine,2019-07-10,
b1b65257-6b71-4e29-b60c-df4a495cc387,35a8ddec-9b91-4cf7-b0e4-85046f68983b,208Z00000X,Secondary,Geriatric Medicine,2018-06-22,
71d6d906-b6f9-492f-af15-0f40b9d3b549,807ff91d-0631-49b4-9e85-559e2235063d,207R00000X,Primary,Internal Medicine,2022-03-10,
6c6fcf15-7ef3-4338-95f2-65e2ee17da88,49094333-fdf2-402a-9aa9-318f14d8e3df,208Z00000X,Secondary,Geriatric Medicine,2016-01-29,
029be15b-b43b-4421-9041-b1f8270243db,59d33c74-24e5-4529-b6c2-146a39dae99e,208Z00000X,Secondary,Geriatric Medicine,2017-10-16,
0bb753a3-eae5-4400-a554-8c55e858be1f,be56653e-19ce-4626-8d69-5e9bbf03b8e3,207Q00000X,Primary,Family Medicine,2016-08-19,
9107d7b4-899d-41a4-a3a8-e5209bfd9177,8d158519-f627-4956-aefa-8faac8c10d1c,208VP0000X,Secondary,Psychiatry,2019-10-04,
b5d813c7-68d0-4997-8f88-15a64cdc5580,f01a744a-06fc-4d3d-be73-896781c0a734,208Z00000X,Secondary,Geriatric Medicine,2020-10-16,
55f77ed1-3596-4634-b048-a671f3febbe2,27998d94-3caf-4be7-acac-a1748bb9c024,207R00000X,Primary,Internal Medicine,2021-09-08,
a30b47e0-73e0-4c53-94cc-57016db82dab,807b0bec-79df-424b-ba68-7f0571154530,207V00000X,Primary,Obstetrics & Gynecology,2016-06-06,
f0565481-ffd0-4205-8ebb-4c3478c7e2a1,29277274-1965-4780-ab67-1d1107e0cec4,207N00000X,Primary,Pediatrics,2018-10-31,
1ad1f12b-ba4d-40b0-bb7a-d03429d035e0,bcf0e2d9-5d99-42f0-b37b-65a3bc3ba9cc,207Q00000X,Primary,Family Medicine,2020-08-12,
87e904c5-040f-4f4f-a1c0-e13ec03c71b9,94e32d1c-2020-4ff2-aa03-8bae9c0d15f8,207Q00000X,Primary,Family Medicine,2018-06-03,
ec01877c-8025-4cf1-89ce-41697d473c6b,b2e98150-e236-4327-a593-846122a27c0c,207N00000X,Primary,Pediatrics,2022-04-20,2023-03-02
c7178253-7ef8-434f-9a45-a93a76d17c1c,ad947b1c-06fa-4e50-ad4b-a0da8df79065,207Q00000X,Primary,Family Medicine,2016-08-02,
85e61762-4c93-4de8-990e-cc5e3b912c0f,ef113ae8-24ec-4113-a195-7f7e3b67a857,207Q00000X,Primary,Family Medicine,2017-09-23,
63f21e70-6495-4359-9a80-7d9bffe486ad,2fa8b6ef-fad7-402a-8af7-6ea7c5c508ab,208C00000X,Secondary,Cardiology,2015-08-14,2017-05-10
06519248-8c0a-4197-a546-6c4037613b8d,080380ed-9024-4a9c-81f1-118a0ea3c959,207N00000X,Primary,Pediatrics,2019-02-18,2023-03-18
f3737f26-02e7-4986-8acb-77938c6fab7c,42f03156-632a-43ed-b6b6-65f187b4ffe0,207V00000X,Primary,Obstetrics & Gynecology,2024-03-19,
d57a3eb2-77f1-470c-8cbc-47167bdacc65,88827314-f42c-4f26-89aa-a9b2183e24c5,207Q00000X,Primary,Family Medicine,2018-02-17,
ce5db8c1-ff00-441b-b294-005f79c97544,78beac96-4a2c-4a26-a32c-8adcc4c6e37d,207N00000X,Primary,Pediatrics,2023-09-21,
86b5dfa2-1b5b-4ffe-b77d-f8653c457420,d3cf0f40-b6be-41e9-808b-401c84355512,208D00000X,Secondary,General Practice,2024-08-27,
28a57a46-d924-426c-bc1c-2c25a9269545,b5bd870a-a8b5-470b-be07-1d6aef34e8be,208Z00000X,Secondary,Geriatric Medicine,2021-08-20,
779be4f3-4a69-427e-9540-340ea0b9a8c6,29005571-6a5e-41eb-b0fb-ac47850aab8c,207V00000X,Primary,Obstetrics & Gynecology,2023-08-18,2024-06-25
655374f4-2f12-417f-bb6f-fd788a2ad5c8,d4e4ea58-1db3-4de0-94f2-13b3e283a0fa,207V00000X,Primary,Obstetrics & Gynecology,2024-04-29,2024-07-05
96a88d07-e411-4cca-91d6-d2e9af97e314,e7d36ab4-9025-44c5-aaaa-b8ed83937520,207R00000X,Primary,Internal Medicine,2019-12-06,
83da7507-547c-413d-92c9-29362034e5db,9fdad672-1dfa-4c16-9601-2952082d8d37,208Z00000X,Secondary,Geriatric Medicine,2021-04-22,
f5ccf78e-b728-4a9d-b353-dba8368154d4,3e046d98-308c-4887-ac03-6260d4e8737f,207Q00000X,Primary,Family Medicine,2020-02-19,2021-03-13
